% Monthly E and C indices based on ERSST v3b following
% Takahashi et al. (2011, doi:10.1029/2011GL047364)
% (no smoothing is applied)
%
% yy  mm      E         C
1880  01  -1.24307  -1.20191
1880  02  -0.774297  -1.31261
1880  03  0.33561  -1.68796
1880  04  0.636913  -1.76129
1880  05  0.279847  -1.51977
1880  06  0.19363  -1.33313
1880  07  0.140027  -1.00347
1880  08  0.120883  -0.895748
1880  09  0.38082  -0.824918
1880  10  0.579376  -0.876733
1880  11  0.536224  -1.0019
1880  12  0.438341  -1.01628
1881  01  0.481505  -0.665657
1881  02  0.473027  -0.631571
1881  03  0.84884  -0.686996
1881  04  0.591904  -0.596029
1881  05  0.866446  -0.792395
1881  06  0.344298  -0.646463
1881  07  0.31066  -0.687054
1881  08  -0.250164  -0.538565
1881  09  -0.567604  -0.656261
1881  10  -0.946543  -0.738901
1881  11  -1.04922  -0.87779
1881  12  -0.937971  -0.959252
1882  01  -0.571117  -0.75646
1882  02  -0.496548  -0.942288
1882  03  -0.44687  -0.852409
1882  04  -0.339443  -0.61751
1882  05  -0.392237  -0.597813
1882  06  -1.50654  -0.763371
1882  07  -1.32866  -0.825122
1882  08  -1.37054  -0.720755
1882  09  -1.04974  -0.866994
1882  10  -0.41746  -1.41123
1882  11  -0.444272  -1.45323
1882  12  -0.29352  -1.58212
1883  01  -0.286723  -1.15862
1883  02  -0.186455  -0.644532
1883  03  0.0548424  -0.629497
1883  04  0.239018  -0.421227
1883  05  0.0034242  -0.797428
1883  06  0.115279  -0.907945
1883  07  0.325314  -1.01901
1883  08  0.198321  -1.03302
1883  09  0.243248  -1.19768
1883  10  0.466916  -1.30263
1883  11  0.439802  -1.07583
1883  12  -0.857614  -0.297969
1884  01  -0.802683  0.0556054
1884  02  -0.655669  0.104783
1884  03  -0.0583178  0.108423
1884  04  0.0896197  0.0530543
1884  05  -0.285348  -0.191363
1884  06  -0.156926  -0.671884
1884  07  -0.0785984  -0.77205
1884  08  0.182798  -0.594105
1884  09  0.346716  -0.59588
1884  10  0.490859  -0.535183
1884  11  0.825394  -0.520536
1884  12  0.877812  -0.554918
1885  01  0.292675  -0.293238
1885  02  -0.448608  -0.0632574
1885  03  -0.476645  -0.101919
1885  04  -0.771802  0.0700074
1885  05  -0.971451  0.0749975
1885  06  -1.40127  -0.263733
1885  07  -0.851944  -0.703207
1885  08  -0.366573  -0.450406
1885  09  -0.0297492  -0.128351
1885  10  0.177817  0.155754
1885  11  0.530639  0.213312
1885  12  0.493566  0.123423
1886  01  0.0185259  -0.80041
1886  02  -0.808276  -0.680079
1886  03  -1.14933  -0.523175
1886  04  -1.08763  -0.559013
1886  05  -1.31292  -1.32018
1886  06  -1.10098  -1.46574
1886  07  -0.916005  -1.55203
1886  08  -1.15831  -1.53818
1886  09  -0.222401  -2.05001
1886  10  -0.449103  -2.11976
1886  11  -0.54324  -2.22967
1886  12  -0.540771  -2.24065
1887  01  -0.337605  -2.06765
1887  02  -0.274863  -1.72056
1887  03  0.0915335  -1.56851
1887  04  0.0164368  -1.55435
1887  05  -0.0870713  -1.5653
1887  06  -0.0960117  -1.38449
1887  07  0.163401  -1.55496
1887  08  0.456472  -1.52237
1887  09  0.362855  -1.46753
1887  10  0.129434  -1.17236
1887  11  -0.263911  -0.501993
1887  12  0.109399  -0.51797
1888  01  -0.0456812  -0.147262
1888  02  -0.0566724  0.594133
1888  03  0.129486  0.319923
1888  04  0.685101  -0.156073
1888  05  1.3854  -0.673438
1888  06  1.06206  -0.289923
